Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,68,27,1602,247,559,0.442,49,136,0.36,198,423,0.468,0.486,70,117,0.598,142,316,458,77,34,38,75,143,613
2,Steven Adams,C,28,MEM,73,72,1925,206,376,0.548,0,1,0,206,375,0.549,0.548,107,193,0.554,340,388,728,239,63,58,109,144,519
3,Bam Adebayo,C,24,MIA,53,53,1726,385,693,0.556,0,6,0,385,687,0.56,0.556,236,312,0.756,131,409,540,182,77,43,144,164,1006
4,Santi Aldama,PF,21,MEM,30,0,319,43,109,0.394,4,41,0.098,39,68,0.574,0.413,14,24,0.583,25,47,72,16,3,10,11,32,104
5,LaMarcus Aldridge,C,36,BRK,45,12,1027,252,455,0.554,14,45,0.311,238,410,0.58,0.569,89,102,0.873,71,181,252,41,14,46,42,74,607
6,Nickeil Alexander-Walker,SG,23,TOT,63,21,1446,249,673,0.37,102,332,0.307,147,341,0.431,0.446,80,108,0.741,37,147,184,152,45,23,93,101,680
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,237,632,0.375,95,305,0.311,142,327,0.434,0.45,70,97,0.722,36,128,164,139,41,19,85,88,639
6,Nickeil Alexander-Walker,SG,23,UTA,13,2,129,12,41,0.293,7,27,0.259,5,14,0.357,0.378,10,11,0.909,1,19,20,13,4,4,8,13,41
7,Grayson Allen,SG,26,MIL,64,61,1757,248,557,0.445,156,382,0.408,92,175,0.526,0.585,60,70,0.857,31,186,217,96,45,16,42,95,712
8,Jarrett Allen,C,23,CLE,56,56,1809,369,545,0.677,1,10,0.1,368,535,0.688,0.678,165,233,0.708,192,410,602,92,44,75,94,97,904
9,Jose Alvarado,PG,23,NOP,49,1,744,116,261,0.444,31,99,0.313,85,162,0.525,0.504,32,45,0.711,23,68,91,134,63,7,35,70,295
10,Justin Anderson,SF,28,TOT,14,6,294,36,89,0.404,15,55,0.273,21,34,0.618,0.489,15,19,0.789,4,41,45,30,8,3,8,22,102
10,Justin Anderson,SF,28,CLE,3,0,47,4,8,0.5,2,6,0.333,2,2,1,0.625,3,4,0.75,0,6,6,6,1,0,2,4,13
10,Justin Anderson,SF,28,IND,11,6,247,32,81,0.395,13,49,0.265,19,32,0.594,0.475,12,15,0.8,4,35,39,24,7,3,6,18,89
11,Kyle Anderson,PF,28,MEM,65,10,1397,193,440,0.439,32,101,0.317,161,339,0.475,0.475,61,97,0.629,67,283,350,170,73,41,66,99,479
12,Giannis Antetokounmpo,PF,27,MIL,63,63,2075,650,1173,0.554,69,230,0.3,581,943,0.616,0.584,528,730,0.723,126,609,735,366,66,90,209,202,1897
13,Thanasis Antetokounmpo,SF,29,MIL,45,5,423,57,109,0.523,1,11,0.091,56,98,0.571,0.528,21,36,0.583,40,56,96,19,15,11,21,64,136
14,Carmelo Anthony,PF,37,LAL,67,3,1744,308,695,0.443,146,384,0.38,162,311,0.521,0.548,130,157,0.828,61,219,280,64,45,51,58,160,892
15,Cole Anthony,PG,21,ORL,64,64,2057,357,911,0.392,132,391,0.338,225,520,0.433,0.464,216,253,0.854,32,316,348,369,46,17,170,170,1062
16,OG Anunoby,SF,24,TOR,47,47,1703,306,688,0.445,115,312,0.369,191,376,0.508,0.528,87,116,0.75,72,183,255,122,70,25,77,131,814
17,Ryan Arcidiacono,PG,27,NYK,7,0,39,4,6,0.667,3,4,0.75,1,2,0.5,0.917,0,0,,0,3,3,1,0,0,1,0,11
18,Trevor Ariza,SF,36,LAL,24,11,462,33,99,0.333,20,74,0.27,13,25,0.52,0.434,10,18,0.556,10,72,82,27,13,6,11,20,96
19,D.J. Augustin,PG,34,TOT,50,2,787,91,202,0.45,66,149,0.443,25,53,0.472,0.614,34,39,0.872,10,53,63,97,15,0,53,29,282
19,D.J. Augustin,PG,34,HOU,34,2,510,55,136,0.404,39,96,0.406,16,40,0.4,0.548,33,38,0.868,7,34,41,74,10,0,45,17,182
19,D.J. Augustin,PG,34,LAL,16,0,277,36,66,0.545,27,53,0.509,9,13,0.692,0.75,1,1,1,3,19,22,23,5,0,8,12,100
20,Deni Avdija,SF,21,WAS,77,6,1835,225,523,0.43,75,233,0.322,150,290,0.517,0.502,101,132,0.765,47,353,400,146,56,41,75,175,626
21,Joel Ayayi,SG,21,WAS,7,0,20,1,6,0.167,0,1,0,1,5,0.2,0.167,0,0,,1,2,3,4,0,0,0,0,2
22,Deandre Ayton,C,23,PHO,56,56,1652,423,665,0.636,6,17,0.353,417,648,0.644,0.641,104,140,0.743,141,429,570,78,39,37,89,134,956
23,Udoka Azubuike,C,22,UTA,17,6,195,37,49,0.755,0,0,,37,49,0.755,0.755,6,11,0.545,18,53,71,0,1,11,12,25,80
24,Marvin Bagley III,PF,22,TOT,48,25,1146,225,446,0.504,23,97,0.237,202,349,0.579,0.53,67,101,0.663,105,233,338,36,22,18,39,93,540
24,Marvin Bagley III,PF,22,SAC,30,17,656,114,246,0.463,15,62,0.242,99,184,0.538,0.494,35,47,0.745,67,148,215,17,9,11,21,50,278
24,Marvin Bagley III,PF,22,DET,18,8,490,111,200,0.555,8,35,0.229,103,165,0.624,0.575,32,54,0.593,38,85,123,19,13,7,18,43,262
25,LaMelo Ball,PG,20,CHO,71,71,2295,505,1188,0.425,201,530,0.379,304,658,0.462,0.51,205,236,0.869,104,369,473,530,113,30,225,227,1416
26,Lonzo Ball,PG,24,CHI,35,35,1212,162,383,0.423,110,260,0.423,52,123,0.423,0.567,21,28,0.75,35,155,190,178,64,31,82,85,455
27,Mo Bamba,C,23,ORL,67,65,1733,276,578,0.478,94,254,0.37,182,324,0.562,0.559,53,66,0.803,141,395,536,79,38,110,75,174,699
28,Desmond Bane,SF,23,MEM,73,73,2186,489,1062,0.46,219,509,0.43,270,553,0.488,0.564,132,147,0.898,44,280,324,203,84,29,106,183,1329
29,Dalano Banton,SF,22,TOR,63,1,691,83,202,0.411,13,51,0.255,70,151,0.464,0.443,25,42,0.595,38,85,123,98,27,10,53,67,204
30,Cat Barber,PG,27,ATL,3,0,13,0,4,0,0,0,,0,4,0,0,0,4,0,1,2,3,3,0,0,1,1,0
31,Harrison Barnes,PF,29,SAC,73,73,2483,378,802,0.471,140,344,0.407,238,458,0.52,0.559,334,404,0.827,78,332,410,183,52,14,116,92,1230
32,Scottie Barnes,PF,20,TOR,69,69,2451,429,873,0.491,52,174,0.299,377,699,0.539,0.521,150,204,0.735,183,337,520,244,76,55,130,179,1060
33,RJ Barrett,SF,21,NYK,67,67,2324,465,1137,0.409,133,384,0.346,332,753,0.441,0.467,275,382,0.72,64,329,393,193,42,16,145,139,1338
34,Will Barton,SG,31,DEN,68,68,2171,376,861,0.437,146,408,0.358,230,453,0.508,0.521,95,119,0.798,43,288,331,264,53,31,123,109,993
35,Paris Bass,SF,26,PHO,2,0,7,2,6,0.333,0,2,0,2,4,0.5,0.333,2,2,1,2,2,4,0,1,0,2,2,6
36,Charles Bassey,PF,21,PHI,23,0,168,30,47,0.638,0,4,0,30,43,0.698,0.638,9,12,0.75,22,40,62,7,5,17,8,32,69
37,Keita Bates-Diop,SF,26,SAS,54,13,859,113,225,0.502,17,51,0.333,96,174,0.552,0.54,41,56,0.732,53,155,208,38,26,14,38,56,284
38,Nicolas Batum,PF,33,LAC,56,51,1392,173,375,0.461,104,262,0.397,69,113,0.611,0.6,24,36,0.667,28,215,243,90,54,42,38,77,474
39,Kent Bazemore,SF,32,LAL,38,14,531,45,137,0.328,29,79,0.367,16,58,0.276,0.434,13,17,0.765,13,54,67,34,25,8,21,68,132
40,Darius Bazley,PF,21,OKC,69,53,1924,274,649,0.422,80,269,0.297,194,380,0.511,0.484,117,170,0.688,71,365,436,97,58,70,90,68,745
41,Bradley Beal,SG,28,WAS,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928
42,Malik Beasley,SG,25,MIN,75,14,1872,317,811,0.391,228,605,0.377,89,206,0.432,0.531,46,57,0.807,25,196,221,110,39,11,43,84,908
43,Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0
44,DeAndre' Bembry,SF,27,TOT,56,20,1026,124,221,0.561,15,36,0.417,109,185,0.589,0.595,21,35,0.6,42,121,163,66,49,25,31,113,284
44,DeAndre' Bembry,SF,27,BRK,48,20,949,121,213,0.568,15,36,0.417,106,177,0.599,0.603,21,35,0.6,38,114,152,60,47,25,30,104,278
44,DeAndre' Bembry,SF,27,MIL,8,0,77,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,4,7,11,6,2,0,1,9,6
45,Dāvis Bertāns,PF,29,TOT,52,0,743,89,255,0.349,68,213,0.319,21,42,0.5,0.482,36,40,0.9,10,91,101,23,15,10,18,79,282
45,Dāvis Bertāns,PF,29,WAS,34,0,501,60,171,0.351,46,144,0.319,14,27,0.519,0.485,28,30,0.933,6,55,61,16,11,6,14,55,194
